acreage,participant by year,participant overall,latitude,longitude
0.03443526,2022-66,2022-187,35.1244281000,-106.6816494000
0.25252525,2022-67,2022-188,35.1316976000,-106.6710880000
0.2525,2022-68,2022-189,35.1473493000,-106.5663504000
0.01147842,2022-69,2022-190,35.0671061000,-106.6114488000
0.0573921,2022-70,2022-191,35.1669800000,-106.5358814000
0.25252525,2022-71,2022-192,35.1188120000,-106.6554210000
0.17217631,2022-72,2022-193,35.2170280000,-106.6702260000
0.17217631,2022-73,2022-194,34.9765582000,-106.7225428000
0.02295684,2022-74,2022-195,35.0917900000,-106.4912305000
0.25252525,2022-75,2022-196,35.0663682000,-106.6102665000
0.0573921,2022-76,2022-197,35.1727361000,-106.6442368000
0.0573921,2022-77,2022-198,35.0823287000,-106.6812285000
0.50505051,2022-78,2022-199,35.0885760000,-106.6603980000
0.0573921,2022-79,2022-200,35.1698700000,-106.5557020000
0.17217631,2022-80,2022-201,35.2288689000,-106.6413815000
0.0573921,2022-81,2022-202,35.0670609000,-106.6110467000
0.03443526,2022-82,2022-203,35.1327832000,-106.6515135000
0.00229568,2022-83,2022-204,35.0804113000,-106.6313421000
0.11478421,2022-84,2022-205,35.0998255000,-106.5960696000
0.0573921,2022-85,2022-206,35.1242498000,-106.5730097000
0.02295684,2022-86,2022-207,35.1553965000,-106.6933178000
0.0573921,2022-87,2022-208,35.1277057000,-106.6800140000
0.25252525,2022-88,2022-209,35.2273396000,-106.6757631000
0.17217631,2022-89,2022-210,35.1393080000,-106.6396264000
0.50505051,2022-90,2022-211,35.1526815000,-106.3523159000
0.11478421,2022-91,2022-212,35.0689623000,-106.6166982000
0.50505051,2022-92,2022-213,35.0802779000,-106.6649164000
0.02295684,2022-93,2022-214,35.0601573000,-106.6900482000
0.11478421,2022-94,2022-215,35.1276094000,-106.5812115000
0.50505051,2022-95,2022-216,35.2664586000,-106.7246621000
0.0573921,2022-96,2022-217,35.1788308000,-106.5490180000
0.50505051,2022-97,2022-218,35.1654090000,-106.5413747000
0.02295684,2022-98,2022-219,35.0836072000,-106.6028288000
0.11478421,2022-99,2022-220,35.1873997000,-106.3233901000
0.00114784,2022-100,2022-221,35.1921581000,-106.3234360000
1,2022-101,2022-222,35.1785097000,-106.6885914000
1.3,2022-102,2022-223,35.0904676000,-106.6656530000
0.01147842,2022-103,2022-224,35.1364758000,-106.4915987000
0.0573921,2022-104,2022-225,35.0810600000,-106.6436250000
0.0573921,2022-105,2022-226,36.9018290000,-104.4027670000
0.08,2022-106,2022-227,35.1233958000,-106.6783186000
0.50505051,2023-1,2023-228,35.0923883000,-106.4977946000
0.0573921,2023-2,2023-229,35.1143333000,-106.6738433000
0.0573921,2023-3,2023-230,35.1262213000,-106.6676468000
0.02295684,2023-4,2023-231,35.1386556000,-106.5518346000
0.03443526,2023-5,2023-232,35.0554334000,-106.6471061000
0.00114784,2023-6,2023-233,35.0627123000,-106.5080639000
0.50505051,2023-7,2023-234,35.0694587000,-106.6170790000
0.03443526,2023-8,2023-235,35.0008322000,-106.6686876000
0.01147842,2023-9,2023-236,34.9895860000,-106.6712480000
0.00229568,2023-10,2023-237,35.2915354000,-106.5942918000
0.01147842,2023-11,2023-238,35.0917325000,-106.5942457000
0.17217631,2023-12,2023-239,35.0622421000,-106.6062634000
