siteName,siteNo,year,vegTotal,Latitude,Longitude,cottonwoodSum,rusOliveSum,nmOliveSum,saltcedarSum,precip,Date
NHCC (National Hispanic Cultural Center),16,2007,294.07,34.647162,-106.738482,12.5,22.18,NULL,52.03,15.47,2007
Santa Ana,3,2007,605.76,34.812369,-106.714458,154.59,21.64,1.56,NULL,15.581,2007
VDO (Valle de Oro),20,2007,287.12,35.100641,-106.6914783,55.05,36.52,NULL,2.9,16.266,2007
Sandia,4,2007,510.02,34.648432,-106.7377022,126.03,105.02,NULL,NULL,16.391,2007
Bobcat,6,2007,186.49,35.142853,-106.6819814,44.92,33.74,NULL,8.63,16.458,2007
Minnow,8,2007,406.56,35.068813,-106.6580575,170.27,0.42,NULL,NULL,16.775,2007
Los Lunas,23,2007,279.47,35.066889,-106.7202778,177.42,8.34,NULL,5.5,17.9,2007
Alameda,10,2007,206.85,35.191958,-106.6441893,54.07,11.49,NULL,9.39,18.104,2007
Montano,11,2007,270.83,35.190568,-106.6491626,145.01,NULL,11.98,0.25,18.158,2007
SLO (State Land Office),21,2007,264.77,35.195569,-106.6416219,95.54,NULL,NULL,NULL,18.22,2007
Bosque Farms,22,2007,340.94,35.197056,-106.6439494,175.78,2.93,NULL,NULL,18.429,2007
Diversion,7,2007,128.88,34.167032,-106.8899486,23.48,NULL,1.64,24.21,18.479,2007
Savannah,12,2007,249.94,35.193151,-106.646915,155.64,0.79,6.2,0.37,18.737,2007
AOP/Umbreit (Albuquerque Overbank Project),17,2007,226.52,35.145288,-106.6803699,38.07,5.2,NULL,NULL,18.87,2007
Ohkay Owingeh,1,2007,382.65,35.188051,-106.646919,172.35,4.21,169.75,0.55,19.225,2007
RGNC (Rio Grande Nature Center),13,2007,430.92,35.015056,-106.6736953,38.91,19.17,NULL,5.98,23.412,2007
Calabacillas,9,2007,562.02,36.0618,-106.0761,33.43,8.86,20.8,NULL,NULL,2007
Reynolds Forest,24,2007,144.94,35.50989,-106.3896,52.61,NULL,6.72,NULL,NULL,2007
Savannah,12,2008,239.21,35.193151,-106.646915,147.65,1.14,6.17,0.85,10.695,2008
SLO (State Land Office),21,2008,261.77,35.195569,-106.6416219,95.3,NULL,NULL,NULL,10.82,2008
Bosque Farms,22,2008,335.33,35.197056,-106.6439494,168.49,4.43,NULL,NULL,11.304,2008
VDO (Valle de Oro),20,2008,237.62,35.100641,-106.6914783,53.13,25.58,NULL,2.38,11.429,2008
Montano,11,2008,202.33,35.190568,-106.6491626,143.89,NULL,11.05,0.23,11.841,2008
Los Lunas,23,2008,295.42,35.066889,-106.7202778,204.74,1.07,NULL,0.99,12.1,2008
Minnow,8,2008,346.13,35.068813,-106.6580575,164.25,1.34,NULL,NULL,12.162,2008
Bobcat,6,2008,223.04,35.142853,-106.6819814,37.53,37.03,NULL,11.04,12.262,2008
Santa Ana,3,2008,558.55,34.812369,-106.714458,122.59,25.02,19.75,NULL,12.312,2008
Alameda,10,2008,169.78,35.191958,-106.6441893,50.52,8.61,NULL,9.69,12.808,2008
Santo Domingo,2,2008,194.9,35.126753,-106.6884322,142.39,NULL,NULL,NULL,12.875,2008
Ohkay Owingeh,1,2008,367.09,35.188051,-106.646919,173.16,2.81,159.65,0.41,12.941,2008
Diversion,7,2008,309.32,34.167032,-106.8899486,26.15,NULL,1.53,27.16,13.108,2008
AOP/Umbreit (Albuquerque Overbank Project),17,2008,228.23,35.145288,-106.6803699,38.43,14.73,NULL,NULL,13.779,2008
Rt 66,14,2008,510.81,34.258342,-106.8831845,122.65,128.55,NULL,72.37,13.983,2008
BioPark,15,2008,294.12,34.648634,-106.7391728,19.5,7.45,NULL,3.92,14.229,2008
NHCC (National Hispanic Cultural Center),16,2008,335.76,34.647162,-106.738482,14.17,28.32,NULL,18.97,15.35,2008
RGNC (Rio Grande Nature Center),13,2008,465.32,35.015056,-106.6736953,28.35,30.11,NULL,4.83,16.041,2008
Sandia,4,2008,488.68,34.648432,-106.7377022,137.05,97.74,NULL,NULL,16.225,2008
Reynolds Forest,24,2008,117.41,35.50989,-106.3896,57.09,NULL,7.55,NULL,16.677,2008
Badger,5,2008,276.44,35.34284,-106.5458,263.56,0.05,0.74,NULL,18.187,2008
San Jose,19,2008,373.97,34.660546,-106.7429525,153.65,55.98,NULL,134.01,18.987,2008
Harrison,18,2008,254.83,34.659664,-106.7421328,85.98,0.98,NULL,2.72,21.633,2008
Calabacillas,9,2008,601.88,36.0618,-106.0761,31.17,16.15,25.67,NULL,NULL,2008
Reynolds Cleared,25,2008,293.31,34.637511,-106.7434661,,28.11,NULL,13.12,NULL,2008
SLO (State Land Office),21,2009,275.04,35.195569,-106.6416219,171.71,NULL,NULL,NULL,9.254,2009
Santo Domingo,2,2009,224.96,35.126753,-106.6884322,153.64,NULL,NULL,NULL,9.583,2009
